|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
212|QUN|29-11-2015|21.9|32.5|3.0|4|37.0|12:01|29.6|67.0|6.0|5|8|1014.5|29.7|62.0|5.57425742574|5|17.0|1011.0|11
51|MAL|21-06-2015|2.2|12.9|0.0|5|30.0|13:07|3.6|90.0|6.0|6|19|1029.2|12.2|47.0|5.57425742574|4|17|1026.1|6
4|MAL|05-05-2015|9.2|18.1|0.6|6|59.0|14:02|14.2|78.0|6.0|4|22|999.3|16.1|42.0|5.57425742574|8|20|1001.4|5
145|MAL|23-09-2015|8.5|12.6|0.0|10|37.0|0:36|10.7|50.0|6.0|11|7|1035.6|11.7|49.0|5.57425742574|9|19|1034.3|9
42|MAL|12-06-2015|5.2|13.1|0.0|5|17.0|13:15|7.0|91.0|6.0|6|38|1035.5|12.8|66.0|5.57425742574|4|4|1031.8|6
207|QUN|24-11-2015|22.1|31.6|0.0|4|33.0|14:00|29.1|54.0|6.0|5|6|1015.1|28.6|56.0|5.57425742574|5|19.0|1011.6|11
104|CAN|13-09-2015|1.0|21.7|0.0|7|22.0|14:33|12.0|71.0|4.0|5|35|1029.4|21.0|30.0|5.57425742574|4|15|1025.7|9
151|QUN|29-09-2015|17.4|27.8|0.4|4|30.0|15:03|24.2|62.0|6.0|5|5|1022.3|24.4|57.0|5.57425742574|5|19.0|1018.6|9
148|CAN|27-10-2015|9.6|17.4|0.0|0|52.0|16:24|11.6|52.0|3.0|11|27|1027.2|16.6|47.0|2.0|10|20|1025.8|10
110|CAN|19-09-2015|3.4|15.5|0.0|1|26.0|16:56|12.2|68.0|7.0|10|39|1028.1|14.6|60.0|8.0|16|6|1024.1|9
108|MAL|17-08-2015|6.8|12.2|2.4|15|39.0|3:44|10.2|80.0|6.0|16|4|1018.2|9.4|71.0|5.57425742574|12|13|1018.4|8
124|QUN|02-09-2015|14.8|26.0|0.0|4|35.0|15:58|20.9|63.0|6.0|15|1|1019.8|23.5|69.0|5.57425742574|5|20.0|1015.8|9
79|CAN|19-07-2015|-5.1|12.8|0.0|7|15.0|14:00|0.9|90.0|6.0|0|40|1034.8|9.8|62.0|5.57425742574|15|9|1032.3|7
